FileNum,Mileage,Color,AcquistionCost,SalesPrice,SoldOn,MMRAvgValue,Year,MakeName,ModelName,StyleName,AddrZip,TagDisplayName
30295,108104,Red,3500,6400,12-09-2018,7625,2010,Subaru,Forester,AWD 2.5X Limited 4dr Wagon 4A,92832,NULL
30589,154040,White,11000,10600,12-09-2018,11600,2012,Chevrolet,Avalanche,4x2 LTZ 4dr Crew Cab Pickup,92675,NULL
30583,125663,White,0,5700,12-09-2018,5725,2012,Chevrolet,Colorado,4x2 Work Truck 4dr Extended Cab,92879,NULL
30585,124577,Black,0,13250,12-09-2018,11900,2007,Toyota,FJ Cruiser,4dr SUV 4WD (4L V6 6M),92879,NULL
30587,109038,Maroon,0,13500,12-09-2018,14200,2011,Chevrolet,Suburban,4x4 LT 1500 4dr SUV,92879,NULL
30588,131754,Black,0,5300,12-09-2018,5900,2013,Ford,Transit Connect,XL 4dr Cargo Mini-Van w/Side and Rear Glass,92675,NULL
30597,79892,Black,0,NULL,12-09-2018,8450,2012,Honda,Civic,Si 2dr Coupe,92879,NULL
30586,80650,Red,0,NULL,12-09-2018,6700,2015,Ford,Focus,SE 4dr Sedan,92879,NULL
30353,15539,DarkBlue,27350,NULL,12-09-2018,25200,2018,Toyota,Sienna,2018 Toyota Sienna LE 3.5L FWD 8 PSGR,90015,NULL
30481,78418,Black,4500,4800,12-09-2018,4350,2005,Mercedes-Benz,CLK,CLK 320 2dr Cabriolet,90015,NULL
30596,192402,Black,500,2300,12-09-2018,2100,2005,Toyota,Prius,4dr Hatchback,90015,NULL
30536,133570,Gold,2000,3200,12-09-2018,2975,2007,Honda,Accord,Hybrid 4dr Sedan w/Navi,92806,NULL
30488,116892,Black,2500,NULL,12-09-2018,4600,2011,Honda,Civic,EX 2dr Coupe 5A,92806,NULL
30197,113625,Silver,8250,NULL,12-09-2018,9425,2007,Chevrolet,Tahoe,LT 4dr SUV,92806,NULL
30248,122787,DarkBlue,0,3700,12-09-2018,4200,2011,Hyundai,Sonata,GLS 4dr Sedan 6A,90810,Frame Damage
30532,143216,White,5000,NULL,12-09-2018,6150,2008,Mercedes-Benz,GL-Class,AWD GL 450 4MATIC 4dr SUV,90015,NULL
30490,146602,Tan,3500,7100,12-09-2018,3075,2004,GMC,Sierra 1500,4dr Extended Cab Work Truck RWD SB,92806,NULL
30120,178794,Silver,2500,2100,07-09-2018,1675,2003,Mercedes-Benz,E-Class,E 320 4dr Sedan,90015,NULL
29550,237801,Maroon,600,900,07-09-2018,825,2001,Chevrolet,Suburban,1500 2WD 4dr SUV,92806,NULL
30087,140251,Black,2600,3200,12-09-2018,2775,2003,Toyota,RAV4,Fwd 4dr SUV,92832,NULL
29945,152217,Silver,1200,1600,12-09-2018,1325,2005,Mercedes-Benz,C-Class,,90801,NULL
29827,44259,Black,24500,23750,12-09-2018,23100,2016,Chevrolet,Colorado,"2WD Crew Cab 128.3 Z71""",90801,NULL
30102,144104,Silver,2500,5200,12-09-2018,3975,2009,Ford,Flex,4dr SEL AWD,90801,NULL
29859,151175,Silver,1800,NULL,12-09-2018,2950,2006,Jeep,Grand Cherokee,4dr Overland,90801,NULL
30638,77145,Black,11500,10250,12-09-2018,10500,2012,GMC,Acadia,SLE 4dr SUV,91761,NULL
30637,29731,Gray,24000,21500,12-09-2018,22100,2017,Toyota,Prius Prime,Plus 4dr Hatchback,91761,NULL
30635,34866,Brown,29000,28500,12-09-2018,26300,2016,Nissan,NV Passenger,3500 HD S 3dr Passenger Van (V8),91761,NULL
30632,34597,Black,21500,19500,12-09-2018,21700,2015,BMW,5 Series,528i 4dr Sedan,91761,NULL
30530,17800,Black,20500,18250,12-09-2018,20400,2017,Chevrolet,Camaro,LT 2dr Coupe w/1LT,91761,NULL
30639,221287,Black,1200,750,12-09-2018,800,2004,Mercedes-Benz,E-Class,E 320 4dr Sedan,90015,NULL
30462,99635,Silver,0,4900,12-09-2018,4600,2004,Toyota,Sienna,5dr XLE LTD FWD,90810,NULL
29897,98625,Silver,13000,15500,12-09-2018,13850,2012,Chevrolet,Silverado 1500,"2WD Crew Cab 143.5 LS""",90801,NULL
30705,235908,Black,3000,3400,12-09-2018,3325,2003,Lexus,GX 470,4dr 4WD SUV,92675,NULL
30707,33548,Gray,17000,19500,12-09-2018,15750,2012,BMW,5 Series,535i 4dr Sedan,92833,NULL
30708,88468,White,19500,19000,12-09-2018,20800,2015,Ford,F-150,4x2 XL 4dr SuperCrew 5.5 ft. SB,92833,NULL
30709,35175,White,40500,40000,12-09-2018,39500,2016,BMW,X6,Msport,92833,NULL
30658,52305,Gray,11000,10250,12-09-2018,10850,2015,Toyota,Corolla,LE 4dr Sedan,92408,NULL
30659,68601,Maroon,6500,6300,12-09-2018,7625,2013,Kia,Optima,LX 4dr Sedan,92408,NULL
30660,104945,Gold,1500,3700,12-09-2018,3425,2007,Toyota,Camry Hybrid,Base 4dr Sedan,92408,NULL
30613,84170,DarkBlue,0,5100,12-09-2018,4550,2014,Hyundai,Accent,GLS 4dr Sedan,90810,NULL
